docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
22202;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/policies/johns-hopkins-eit-policy/;Johns Hopkins Electronic Information Technology;http://accessibility.jhu.edu/policies/johns-hopkins-eit-policy/;
19319;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/sitemap/;Sitemap;http://accessibility.jhu.edu/sitemap/;
31431;0;Web:jhuedu-singlepages;http://agora.jhu.edu/;Explore KSAS;http://agora.jhu.edu/;
31573;0;Web:jhuedu-singlepages;http://anthropology.jhu.edu/;Department of Anthropology;http://anthropology.jhu.edu/;
14576;0;Web:jhuedu-libraries;http://archaeologicalmuseum.jhu.edu/;Johns Hopkins Archaeological Museum;http://archaeologicalmuseum.jhu.edu/;
3764;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/ABA/index.html;Post-Master's Certificate in Applied Behavior Analysis (ABA);http://archive.education.jhu.edu/Academics/certificates/ABA/index.html;
3656;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/data/index.html;School of Education at Johns Hopkins University-Data-based Decision Making, Technology for Educators;http://archive.education.jhu.edu/Academics/certificates/data/index.html;
3617;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/mentalhealth/index.html;School of Education at Johns Hopkins University-Clinical Community Counseling;http://archive.education.jhu.edu/Academics/certificates/mentalhealth/index.html;
2838;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/mindbrain/index.html;School of Education at Johns Hopkins University-Mind, Brain, and Teaching Graduate Education Certificate;http://archive.education.jhu.edu/Academics/certificates/mindbrain/index.html;
3134;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/schooladmin/index.html;School of Education at Johns Hopkins University-School Administration Graduate Certificate Program;http://archive.education.jhu.edu/Academics/certificates/schooladmin/index.html;
3163;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/stem/index.html;School of Education - K-8 STEM Lead Teacher Education;http://archive.education.jhu.edu/Academics/certificates/stem/index.html;
3451;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/technology/index.html;School of Education at Johns Hopkins University-Technology for Educators, Leadership in Technology Integration;http://archive.education.jhu.edu/Academics/certificates/technology/index.html;
3643;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/certificates/urban/index.html;School of Education at Johns Hopkins University-Urban Education;http://archive.education.jhu.edu/Academics/certificates/urban/index.html;
2387;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/doctoral/index.html;School of Education Doctoral Programs;http://archive.education.jhu.edu/Academics/doctoral/index.html;
2361;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MAT/index.html;Johns Hopkins School of Education - Master of Arts in Teaching;http://archive.education.jhu.edu/Academics/masters/MAT/index.html;
2906;0;Web:jhuedu-education;http://archive.education.jhu.edu/Academics/masters/MEHP/MEHP Summer Conference 2017 Tentative Schedule;MEHP Summer Conference 2017 Tentative Schedule;http://archive.education.jhu.edu/Academics/masters/MEHP/MEHP Summer Conference 2017 Tentative Schedule;
